,PISAC,PARURO,COLQUEPATA,CCATCCA,CAICAY
X372.5,20.72532081604,22.9581203460693,19.0393238067627,19.645336151123,19.6125144958496
X373.5,20.3598651885986,22.4278621673584,19.2641735076904,19.4009437561035,19.7594470977783
X374.5,19.5118732452393,21.9618301391602,18.2739353179932,18.8760414123535,19.1828269958496
X375.5,20.1565608978271,22.9217891693115,19.0994853973389,19.7249450683594,19.8620281219482
X376.5,21.30149269104,23.3053035736084,20.821102142334,20.2040042877197,20.9305229187012
X377.5,20.8604431152344,22.407154083252,19.8122177124023,19.3921337127686,19.8864059448242
X378.5,20.891300201416,22.3820533752441,19.9141597747803,19.4050312042236,20.0711994171143
X379.5,21.2860870361328,22.8662376403809,20.4489517211914,20.2309341430664,20.6307392120361
X380.5,20.8996162414551,22.760066986084,20.1418704986572,19.7617931365967,20.4071846008301
X381.5,20.6650276184082,22.6043167114258,20.4227867126465,19.5180263519287,20.6699409484863
X382.5,21.1045818328857,23.4296989440918,20.5293674468994,19.8223247528076,20.6715278625488
X383.5,20.8069610595703,23.0654602050781,19.7573738098145,19.9426860809326,20.2547187805176
X384.5,19.9570999145508,22.3667087554932,18.8508625030518,18.8439903259277,19.3357257843018
X385.5,20.3026371002197,22.4502696990967,19.4110527038574,19.2979354858398,19.928617477417
X386.5,20.2846641540527,22.6932678222656,19.3984375,19.610143661499,20.3007106781006
X387.5,21.2181797027588,23.7740631103516,20.0537967681885,20.8187732696533,20.8232173919678
X388.5,22.4359226226807,24.345006942749,21.6336250305176,21.1506767272949,21.8027267456055
X389.5,20.1965274810791,21.7681350708008,19.5923652648926,18.9423179626465,19.6857967376709
X390.5,19.7308444976807,21.2874526977539,18.9231796264648,18.3179779052734,19.124397277832
X391.5,19.7377052307129,21.4960460662842,18.9080982208252,18.5684051513672,19.0802593231201
X392.5,20.9796085357666,22.7918567657471,19.8057823181152,19.8891334533691,20.1045913696289
X393.5,21.2074890136719,23.1849594116211,20.1458683013916,19.9345111846924,20.4591960906982
X394.5,21.4683418273926,23.8041839599609,20.5125102996826,20.0988807678223,20.6518745422363
X395.5,20.7663059234619,22.9966640472412,19.5840682983398,19.9006690979004,20.0806350708008
X396.5,19.1355495452881,21.5782566070557,17.8665599822998,18.0846614837646,18.4382591247559
X397.5,19.2850761413574,21.4735336303711,17.9554977416992,18.3079929351807,18.4970378875732
X398.5,18.9494533538818,21.5037269592285,17.8460502624512,18.3943023681641,18.828685760498
X399.5,19.6841773986816,22.5204658508301,18.484899520874,19.2962512969971,19.2968406677246
X400.5,20.785945892334,22.8739414215088,20.075023651123,19.7074890136719,20.2718944549561
X401.5,21.327693939209,22.8737564086914,20.1572132110596,20.0038089752197,20.2459163665771
X402.5,20.8612499237061,22.3469085693359,19.863842010498,19.4685707092285,20.0135688781738
X403.5,20.3293533325195,22.0700836181641,19.4548931121826,19.3352298736572,19.6795978546143
X404.5,20.7543258666992,22.6773910522461,19.8224315643311,19.6505012512207,20.1571559906006
X405.5,21.1337413787842,23.1433544158936,20.2752552032471,19.9383850097656,20.6212673187256
X406.5,21.1877155303955,23.4990653991699,20.2026481628418,19.9973335266113,20.3571128845215
X407.5,20.2349262237549,22.5621395111084,19.0405292510986,19.4828987121582,19.5604801177979
X408.5,19.1844120025635,21.5613956451416,17.9414196014404,18.1841678619385,18.4436225891113
X409.5,19.1975898742676,21.387321472168,17.9109878540039,18.2222099304199,18.446460723877
X410.5,19.2689437866211,21.7402286529541,18.2905464172363,18.6429767608643,19.197452545166
X411.5,19.6177616119385,22.4051818847656,18.5662136077881,19.212064743042,19.3308887481689
X412.5,21.0521392822266,23.0638885498047,20.3994140625,19.9082202911377,20.4877109527588
X413.5,20.67991065979,22.2512474060059,19.808385848999,19.2686195373535,19.8565425872803
X414.5,20.8583393096924,22.2976589202881,19.9242534637451,19.4611968994141,20.0524520874023
X415.5,21.6892871856689,23.3162841796875,20.7393779754639,20.604190826416,20.9109039306641
X416.5,21.5766906738281,23.4617290496826,20.9335842132568,20.3723983764648,21.2172374725342
X417.5,22.0947456359863,23.9373092651367,20.9923667907715,20.8609828948975,21.2596626281738
X418.5,21.7269325256348,24.0167846679688,20.7373790740967,20.4402618408203,20.8620300292969
X419.5,21.0206031799316,23.3048534393311,19.9590644836426,20.1713962554932,20.4607639312744
X420.5,20.3349647521973,22.632682800293,19.2039642333984,19.3534297943115,19.6911373138428
X421.5,20.5927886962891,22.6994915008545,19.4748439788818,19.6409740447998,19.9908046722412
X422.5,19.5049457550049,22.001049041748,18.2206439971924,18.8166656494141,19.1469802856445
X423.5,20.8878307342529,23.5351715087891,19.7321472167969,20.4337120056152,20.4800586700439
X424.5,21.7822513580322,23.7008590698242,20.6341991424561,20.6406803131104,20.7928028106689
X425.5,21.2224407196045,22.7735652923584,20.2371482849121,19.8272914886475,20.2910137176514
X426.5,21.8131332397461,23.2737941741943,20.5658874511719,20.3218460083008,20.748779296875
X427.5,23.028377532959,24.65602684021,21.5862216949463,21.9098930358887,21.8544940948486
X428.5,21.8516025543213,23.7149543762207,20.7031688690186,20.7367324829102,21.0094947814941
X429.5,22.8493328094482,24.6884307861328,21.5995216369629,21.5882377624512,21.9432182312012
X430.5,21.9341735839844,24.1836242675781,20.8061428070068,20.6800498962402,20.9607181549072
X431.5,20.7553825378418,23.0633907318115,19.51025390625,19.8869152069092,20.016300201416
X432.5,19.5665397644043,22.0572032928467,17.812572479248,18.4057922363281,18.4106845855713
X433.5,20.3551158905029,23.25634765625,18.4302616119385,18.8481826782227,19.1828784942627
X434.5,20.5051326751709,23.0890464782715,18.6277503967285,19.6411666870117,19.6007423400879
X435.5,20.0532989501953,22.7158851623535,18.8845481872559,19.6393451690674,19.6554164886475
X436.5,20.6619167327881,22.6122856140137,19.9645938873291,19.5672035217285,20.0597763061523
X437.5,20.4310989379883,21.9441509246826,19.2705554962158,19.0731658935547,19.3805732727051
X438.5,20.6456184387207,22.1787757873535,19.7312889099121,19.228853225708,19.9080142974854
X439.5,20.674711227417,22.32102394104,19.7767086029053,19.5966567993164,19.9392604827881
X440.5,21.8014659881592,23.6745071411133,20.8258876800537,20.6539325714111,21.1289405822754
X441.5,22.103084564209,23.9981212615967,21.1557712554932,20.8267822265625,21.4882183074951
X442.5,21.332799911499,23.6638736724854,20.5806541442871,19.9336051940918,20.6958045959473
X443.5,20.0771770477295,22.4106178283691,19.2408504486084,19.2225093841553,19.7038555145264
X444.5,18.8294353485107,21.2418308258057,17.5242252349854,17.7569694519043,18.0178661346436
X445.5,18.8337936401367,21.1683177947998,17.7481575012207,17.7585792541504,18.2815475463867
X446.5,19.4045066833496,21.9665470123291,18.0970268249512,18.6615924835205,19.0178546905518
X447.5,20.0020561218262,22.9221801757812,18.7540264129639,19.4864597320557,19.5512714385986
X448.5,20.0505809783936,22.2246112823486,19.550443649292,18.9811820983887,19.6489448547363
X449.5,20.7134799957275,22.2815093994141,19.4922065734863,19.3154773712158,19.5780220031738
X450.5,21.3860130310059,22.9553070068359,20.5995960235596,19.9429931640625,20.7487106323242
X451.5,19.893856048584,21.7539482116699,19.0979824066162,18.7509231567383,19.3051071166992
X452.5,22.0112800598145,23.9409084320068,20.8076095581055,20.9230346679688,21.2223587036133
X453.5,23.1165599822998,25.089204788208,21.9366683959961,21.8563098907471,22.3389911651611
X454.5,21.9449577331543,24.2690105438232,21.1977386474609,20.7470016479492,21.4067478179932
X455.5,21.9314823150635,24.130485534668,21.226490020752,21.2464218139648,21.801664352417
X456.5,21.429313659668,23.751802444458,20.3244667053223,20.4960289001465,20.8566970825195
X457.5,21.5507259368896,23.597541809082,20.4585933685303,20.6530456542969,20.9914512634277
X458.5,21.432014465332,23.7480278015137,20.1901683807373,20.8541355133057,21.0871982574463
X459.5,22.1761131286621,24.7229290008545,20.9991321563721,21.7542476654053,21.7549858093262
X460.5,22.4554462432861,24.2944164276123,21.9348735809326,21.332389831543,22.0738410949707
X461.5,21.055456161499,22.8231811523438,20.2196998596191,19.5967502593994,20.3416423797607
X462.5,22.0937557220459,23.6395473480225,20.8745937347412,20.6406478881836,21.1135025024414
X463.5,22.3867664337158,24.1121654510498,21.2496395111084,21.2235870361328,21.5159568786621
X464.5,23.0708389282227,24.9255924224854,21.723726272583,21.8882236480713,22.1050491333008
X465.5,22.1106338500977,23.9922771453857,21.0862102508545,20.8475360870361,21.3860378265381
X466.5,21.7931251525879,24.0117950439453,20.8144111633301,20.5180606842041,20.9348411560059
X467.5,20.8457145690918,23.1117267608643,19.775785446167,20.0194721221924,20.337926864624
