,PISAC,PARURO,COLQUEPATA,CCATCCA,CAICAY
X298.5,77.0368728637695,47.2364768981934,95.8473510742188,63.4816093444824,61.5196228027344
X299.5,96.5711364746094,79.8871917724609,112.516082763672,90.9276351928711,98.7348861694336
X300.5,105.48299407959,131.313293457031,103.450538635254,121.066787719727,126.546630859375
X301.5,108.539031982422,152.876663208008,112.295700073242,111.757621765137,116.723793029785
X302.5,83.1354675292969,90.6629486083984,81.5481948852539,73.3115844726562,73.1408081054688
X303.5,47.015007019043,53.3930282592773,44.9659843444824,35.7141342163086,29.2548942565918
X304.5,21.9737682342529,24.3607559204102,38.0401039123535,17.3592834472656,18.3154678344727
X305.5,15.5792007446289,9.25726318359375,17.9320602416992,10.212287902832,14.0167016983032
X306.5,2.03619289398193,1.26676332950592,3.17856025695801,2.90729784965515,2.23427844047546
X307.5,0.431207239627838,0,0.581081867218018,0.154553756117821,0
X308.5,39.7072143554688,37.0438652038574,60.598461151123,33.9830703735352,29.3514442443848
X309.5,64.1428604125977,55.7096672058105,48.4518737792969,53.9688758850098,56.846076965332
X310.5,126.491004943848,112.694808959961,140.527603149414,89.9102325439453,95.8763809204102
X311.5,128.501953125,155.282913208008,145.049118041992,120.894142150879,123.591453552246
X312.5,87.0739593505859,99.3636474609375,69.8960113525391,106.24787902832,87.9473648071289
X313.5,94.7143783569336,113.281181335449,86.2933807373047,73.2708892822266,83.8339004516602
X314.5,149.429611206055,156.819869995117,144.71711730957,132.35221862793,129.558029174805
X315.5,64.4392318725586,46.4600715637207,56.4417266845703,30.8706130981445,35.5942764282227
X316.5,7.42214155197144,5.64602422714233,13.5249662399292,4.95402860641479,5.7594747543335
X317.5,0.235323593020439,0,0.145818173885345,0.0812522619962692,0.194045454263687
X318.5,5.18442964553833,2.29272556304932,8.72736549377441,6.97092723846436,6.35922336578369
X319.5,5.2987756729126,3.09726548194885,7.5072340965271,2.38108158111572,2.6017804145813
X320.5,9.94113159179688,19.8752422332764,19.365306854248,11.3444337844849,8.29234981536865
X321.5,28.9387149810791,26.2749729156494,22.2869434356689,20.8083438873291,22.2320289611816
X322.5,62.7001304626465,53.0574760437012,64.3946075439453,31.0868587493896,42.5652809143066
X323.5,68.6250076293945,99.9979400634766,86.1670913696289,59.309757232666,71.6487808227539
X324.5,139.011917114258,215.316253662109,150.515411376953,199.500045776367,186.374633789062
X325.5,74.8661422729492,108.048080444336,71.292106628418,79.9950256347656,86.8141479492188
X326.5,60.1852111816406,55.5795783996582,61.0154457092285,57.1923370361328,54.3927154541016
X327.5,20.823860168457,23.1318798065186,19.9804744720459,15.2396068572998,14.6864318847656
X328.5,3.51016807556152,4.13832759857178,6.29220390319824,3.23566818237305,3.38552594184875
X329.5,3.22510623931885,1.1625645160675,3.29578685760498,3.44871592521667,3.57917666435242
X330.5,18.4002990722656,12.0322685241699,31.094310760498,28.4264297485352,26.031307220459
X331.5,0.271976679563522,0,0.482619851827621,0.25895556807518,0
X332.5,16.1451320648193,24.3004932403564,29.7390422821045,2.69110226631165,6.83297157287598
X333.5,41.1596374511719,55.2576370239258,41.6196823120117,45.8143844604492,44.0798187255859
X334.5,104.73299407959,97.1099014282227,130.441757202148,87.9412536621094,89.9974975585938
X335.5,94.7688369750977,155.196090698242,123.863609313965,101.412101745605,109.848739624023
X336.5,108.101959228516,165.088119506836,100.39461517334,97.974723815918,113.577247619629
X337.5,69.2113647460938,118.470367431641,71.7248382568359,70.3658828735352,85.2637939453125
X338.5,169.090057373047,179.756546020508,159.197128295898,150.968200683594,155.679779052734
X339.5,98.5075988769531,97.7565383911133,102.836151123047,84.5192108154297,83.2485733032227
X340.5,9.32461833953857,10.2876720428467,20.3846645355225,12.1566209793091,13.1829061508179
X341.5,0.382158637046814,0,0.465866357088089,0.204652100801468,0.467297345399857
X342.5,0,0,0.0774221122264862,0.294241815805435,0
X343.5,1.52202463150024,0.91204833984375,4.09207725524902,0.774571299552917,1.13475394248962
X344.5,12.6613464355469,11.7957725524902,17.6110534667969,9.30961132049561,7.97806119918823
X345.5,37.4363975524902,43.8004493713379,37.2764587402344,53.4397239685059,44.296070098877
X346.5,62.7899436950684,45.9374694824219,65.6707916259766,39.6625823974609,42.7943840026855
X347.5,94.0911865234375,124.463195800781,119.515106201172,93.3602523803711,97.2184219360352
X348.5,114.01602935791,170.722259521484,120.590812683105,127.423324584961,131.857803344727
